,Top-Level Management Support,Project Planning,Team Commitment,Team Communication,Team Morale,Average Team Experience,Budget,Schedule,Overall success
80,3.0,2.0,3.0,3.0,4.0,2.0,,3.0,0.388
81,5.0,3.0,5.0,3.0,3.0,2.0,,1.0,0.388
82,5.0,5.0,4.0,4.0,2.0,4.0,1.0,1.0,0.376
83,3.0,3.0,2.0,4.0,1.0,2.0,,0.0,0.376
84,3.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,0.364
85,3.0,4.0,3.0,4.0,2.0,3.0,,1.0,0.352
86,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.34199999999999997
87,4.0,3.0,3.0,3.0,3.0,2.0,,,0.32999999999999996
88,1.0,4.0,3.0,2.0,2.0,2.0,,1.0,0.32999999999999996
89,4.0,2.0,4.0,4.0,4.0,2.0,,,0.32999999999999996
90,2.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0,0.306
91,2.0,4.0,4.0,4.0,3.0,,3.0,0.0,0.306
92,1.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,0.282
93,1.0,1.0,2.0,1.0,1.0,1.0,,0.0,0.258
94,2.0,2.0,3.0,3.0,2.0,2.0,,0.0,0.248
95,3.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.118
96,5.0,2.0,5.0,5.0,3.0,4.0,0.0,0.0,0.10600000000000001
